"id","artist","title","alt_text","description","date_created","date_acquired_or_updated","institution","medium","mediums_parsed","image_url"
"W20","5","Spring (TAM.1474)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8b40aefe9b9b46e2"
"W21","5","Succulents (TAM.1475)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNDA3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=64330f86f43db4fe"
"W22","5","Umakichi (TAM.1476)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=884daa0b1b570ba5"
"W23","5","Umakichi (TAM.1476-II)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNDA4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3d73d9373f9ca089"
"W24","5","Umakichi (TAM.1476-III)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=39dd62ccfd2933f6"
"W25","5","Umakichi (TAM.1476-IV)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDMzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=963c0e3db875073b"
"W26","5","Chrysanthemums (TAM.1477)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDMzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=66ab0392b53657d3"
"W27","5","Chrysanthemums (TAM.1477-II)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDMzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c73116829b01a44"
"W28","5","Chrysanthemums (TAM.1477-III)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=39f354bc551808d6"
"W29","5","Poppy (TAM.1479)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjMzMjYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7ca3056ec8ae8455"
"W30","5","Pigeons on Cobblestones (TAM.1478)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8796311a08231b13"
"W31","5","Untitled (TAM.1482, Calla Lilies)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=831421668cd88862"
"W32","5","Babies (TAM.1484)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fc6565b269d90c93"
"W33","5","Haru (TAM.1485)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4e506451c21e59f5"
"W34","5","Owl (TAM.1486)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjU0OTc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=77948ce6eca5cad1"
"W35","5","Untitled (TAM.1487, Black Wash)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8af7e5b37f352082"
"W36","5","Untitled (TAM.1487-II, Blue and Purple Wash)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4880754d1585a744"
"W37","5","Untitled (TAM.1488, Pink)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fe72a3d0d2889013"
"W38","5","Nude (TAM.1489)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8d8c83c82d210eb9"
"W39","5","Nude (TAM.1489-II)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjQyODQ0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=69a23814982a63bf"
"W40","5","Faces (TAM.1490)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7089cb0b4b533c16"
"W41","5","Owl II (TAM.1491)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjM5NDMzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bc84b6ee013fa5e4"
"W42","5","Untitled (TAM.1494, Three Hydrangeas)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjE2MTY4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f24a4e210e741abe"
